monitor_hour,source_samples,completeness_state,feed_iron_mean,feed_silica_mean,starch_flow_mean,amine_flow_mean,pulp_flow_mean,pulp_ph_mean,pulp_density_mean,column_1_air_mean,column_1_level_mean,column_2_air_mean,column_2_level_mean,column_3_air_mean,column_3_level_mean,column_4_air_mean,column_4_level_mean,column_5_air_mean,column_5_level_mean,column_6_air_mean,column_6_level_mean,column_7_air_mean,column_7_level_mean,concentrate_iron_mean,concentrate_silica_mean,recent_silica_trend,quality_state,consecutive_high_hours,causal_root_cause_allowed,automatic_setpoint_allowed,allowed_action,data_nature
2017-03-10 01:00:00,174,不完整,55.199999999999996,16.980000000000015,3162.625025862068,578.7866781609193,398.75336781609184,10.113487356321839,1.7295581609195396,251.16667241379312,450.38377586206906,250.2260862068965,446.89184482758645,250.17828735632173,450.4745229885058,295.09599999999955,449.9122586206893,306.4000000000009,455.7921609195404,251.23252873563226,464.3833103448278,250.20818390804604,450.5327471264369,66.90999999999988,1.3100000000000018,0,正常,0,False,False,request_process_review,public-derived-contiguous-hour-slice
2017-03-10 02:00:00,180,完整,55.20000000000002,16.980000000000015,3133.256388888891,537.2196611111112,399.87182222222236,10.129741666666664,1.6677842222222223,249.8805888888888,449.373361111111,250.21405000000004,450.2493555555557,250.03331666666676,450.0812222222222,295.0959999999995,450.3288055555554,306.40000000000094,448.72298333333345,249.90949444444442,455.50152777777777,249.89757222222207,451.3877000000003,67.05999999999996,1.1100000000000045,-0.1999999999999973,正常,0,False,False,request_process_review,public-derived-contiguous-hour-slice
2017-03-10 03:00:00,180,完整,55.20000000000002,16.980000000000015,3479.482944444445,591.9067444444444,398.7638055555556,10.048403333333338,1.7327108333333332,250.16132777777773,449.9728777777778,250.10416666666666,450.8687111111111,250.04635000000002,450.9018222222223,295.0959999999995,451.1458222222221,306.40000000000094,451.13418888888884,250.2421611111113,459.9813111111112,250.48418333333325,450.29672222222206,66.96999999999986,1.2700000000000038,-0.01999999999999902,正常,0,False,False,request_process_review,public-derived-contiguous-hour-slice
2017-03-10 04:00:00,180,完整,55.20000000000002,16.980000000000015,3228.0364358333336,593.1701055555552,399.8669833333337,9.91861400000001,1.7310558333333348,250.20877222222188,487.94070555555516,250.20476111111114,491.46211111111074,250.12086111111088,487.38720555555574,295.0959999999995,494.5281833333333,306.40000000000094,495.664011111111,249.8251222222223,502.76384999999976,250.1576222222219,494.93988888888896,66.75,1.3600000000000063,0.016666666666668162,正常,0,False,False,request_process_review,public-derived-contiguous-hour-slice
2017-03-10 05:00:00,180,完整,55.20000000000002,16.980000000000015,3327.2807388888887,619.7108055555552,399.61508888888903,9.746029222222225,1.765879222222224,249.91780000000014,549.0315388888889,250.16049444444434,549.9831555555558,250.01350000000005,549.4595722222222,295.0959999999995,549.9754833333335,306.40000000000094,549.5125333333333,250.24960000000013,560.6962999999997,250.07863888888883,550.2717722222221,66.62999999999981,1.340000000000003,0.007500000000000284,正常,0,False,False,request_process_review,public-derived-contiguous-hour-slice
2017-03-10 06:00:00,180,完整,55.20000000000002,16.980000000000015,3405.1622222222213,621.8785388888889,399.74934444444443,9.892237111111113,1.765064055555553,249.89829444444445,550.5995666666666,250.1110222222223,549.929138888889,250.07538333333338,549.0892444444446,295.0959999999995,549.6096999999997,306.40000000000094,549.2207000000002,249.94249444444446,561.0516444444444,250.1498777777776,551.0907666666668,66.85000000000021,1.1500000000000037,-0.031999999999999626,正常,0,False,False,request_process_review,public-derived-contiguous-hour-slice
2017-03-10 07:00:00,180,完整,54.95000000000002,17.400000000000055,2865.8784277777777,618.1863666666666,400.3451333333335,10.180425555555553,1.7654223333333332,250.3506666666666,549.5399777777783,250.27659444444447,550.7790500000002,250.06684444444437,550.9951833333332,295.0959999999995,550.4599722222224,306.40000000000094,549.721688888889,250.0500333333335,569.6192777777776,250.06273333333326,550.5758166666662,65.76000000000018,2.7599999999999936,0.3299999999999978,临近阈值,0,False,False,request_process_review,public-derived-contiguous-hour-slice
2017-03-10 08:00:00,180,完整,54.95000000000002,17.400000000000055,3306.7536266666675,595.6809833333333,400.12874444444475,10.180202777777778,1.7661564444444426,249.80609444444428,550.3122999999997,250.23687777777766,550.0976999999997,250.00902777777745,549.3166277777781,295.0959999999995,549.6357722222219,306.40000000000094,548.4477277777775,250.20051666666652,567.5989555555554,250.0518944444442,550.0110166666666,65.88999999999993,2.6499999999999915,0.2759999999999975,正常,0,False,False,request_process_review,public-derived-contiguous-hour-slice
2017-03-10 09:00:00,180,完整,54.95000000000002,17.400000000000055,3784.48711111111,592.3679833333333,400.2784666666668,9.940502833333335,1.7600502777777733,250.06378888888867,549.879238888889,249.90368888888875,549.2459611111112,250.00544444444455,550.3712000000002,295.0959999999995,551.3699999999994,306.40000000000094,549.1485277777776,250.1678166666665,563.1761277777779,250.07197222222229,550.217227777778,66.68000000000016,1.7299999999999995,0.07399999999999865,正常,0,False,False,request_process_review,public-derived-contiguous-hour-slice
2017-03-10 10:00:00,180,完整,54.95000000000002,17.400000000000055,3316.753911111112,582.9060944444445,399.7736666666667,10.104197277777777,1.761051388888886,250.09676666666658,550.1431277777779,250.00297777777766,549.3267944444441,250.04623888888887,549.1419055555556,295.0959999999995,548.2125583333334,306.40000000000094,546.7677722222223,250.11123333333308,556.4767166666668,249.98977777777765,549.2194222222223,66.52000000000028,1.810000000000002,0.09399999999999982,正常,0,False,False,request_process_review,public-derived-contiguous-hour-slice
