turbine_id,day,source_records,valid_wind_records,valid_power_records,mean_wind_speed,mean_active_power,underperformance_share,turbine_x,turbine_y,manual_inspection_only,allowed_action,data_nature
1,1,144,143,143,8.0295105,840.33552,0,3349.8515,5939.23193,True,adjust_inspection_priority,public-derived-entity-complete-daily-aggregate
1,2,144,144,144,6.0204861,528.58667,0,3349.8515,5939.23193,True,adjust_inspection_priority,public-derived-entity-complete-daily-aggregate
1,3,144,144,144,11.040278,1460.9219,0,3349.8515,5939.23193,True,adjust_inspection_priority,public-derived-entity-complete-daily-aggregate
1,4,144,144,144,9.99625,1189.9213,0,3349.8515,5939.23193,True,adjust_inspection_priority,public-derived-entity-complete-daily-aggregate
1,5,144,144,144,9.6979167,1203.0804,0,3349.8515,5939.23193,True,adjust_inspection_priority,public-derived-entity-complete-daily-aggregate
1,6,144,144,144,4.2020139,294.44472,0,3349.8515,5939.23193,True,adjust_inspection_priority,public-derived-entity-complete-daily-aggregate
1,7,144,144,144,3.0089583,110.24014,0,3349.8515,5939.23193,True,adjust_inspection_priority,public-derived-entity-complete-daily-aggregate
2,1,144,143,143,8.4416783,513.49762,0,3351.0017,6416.64673,True,adjust_inspection_priority,public-derived-entity-complete-daily-aggregate
2,2,144,144,144,6.5372917,516.56764,0,3351.0017,6416.64673,True,adjust_inspection_priority,public-derived-entity-complete-daily-aggregate
2,3,144,144,144,11.246389,962.50743,0,3351.0017,6416.64673,True,adjust_inspection_priority,public-derived-entity-complete-daily-aggregate
2,4,144,144,144,10.254931,762.98104,0,3351.0017,6416.64673,True,adjust_inspection_priority,public-derived-entity-complete-daily-aggregate
2,5,144,144,144,9.8294444,543.64056,0,3351.0017,6416.64673,True,adjust_inspection_priority,public-derived-entity-complete-daily-aggregate
2,6,144,144,144,4.6806944,277.17424,0,3351.0017,6416.64673,True,adjust_inspection_priority,public-derived-entity-complete-daily-aggregate
2,7,144,144,144,3.3242361,100.6384,0,3351.0017,6416.64673,True,adjust_inspection_priority,public-derived-entity-complete-daily-aggregate
3,1,144,143,143,8.1576224,557.8772,0,3314.7797,6892.18395,True,adjust_inspection_priority,public-derived-entity-complete-daily-aggregate
3,2,144,143,143,6.1234965,524.03804,0,3314.7797,6892.18395,True,adjust_inspection_priority,public-derived-entity-complete-daily-aggregate
3,3,144,144,144,10.831667,1159.9941,0,3314.7797,6892.18395,True,adjust_inspection_priority,public-derived-entity-complete-daily-aggregate
3,4,144,144,144,9.855,753.93542,0,3314.7797,6892.18395,True,adjust_inspection_priority,public-derived-entity-complete-daily-aggregate
3,5,144,143,143,9.7477622,566.96818,0,3314.7797,6892.18395,True,adjust_inspection_priority,public-derived-entity-complete-daily-aggregate
3,6,144,143,143,4.4599301,280.06224,0,3314.7797,6892.18395,True,adjust_inspection_priority,public-derived-entity-complete-daily-aggregate
3,7,144,143,143,3.1862238,86.290699,0,3314.7797,6892.18395,True,adjust_inspection_priority,public-derived-entity-complete-daily-aggregate
4,1,144,143,143,7.939021,598.07923,0,3352.094,7366.14203,True,adjust_inspection_priority,public-derived-entity-complete-daily-aggregate
4,2,144,144,144,5.8278472,508.03437,0,3352.094,7366.14203,True,adjust_inspection_priority,public-derived-entity-complete-daily-aggregate
4,3,144,144,144,10.685833,1155.1343,0,3352.094,7366.14203,True,adjust_inspection_priority,public-derived-entity-complete-daily-aggregate
4,4,144,144,144,9.6245833,733.09056,0,3352.094,7366.14203,True,adjust_inspection_priority,public-derived-entity-complete-daily-aggregate
4,5,144,144,144,9.7659722,567.39028,0,3352.094,7366.14203,True,adjust_inspection_priority,public-derived-entity-complete-daily-aggregate
4,6,144,144,144,4.3482639,280.67681,0,3352.094,7366.14203,True,adjust_inspection_priority,public-derived-entity-complete-daily-aggregate
4,7,144,144,144,3.1641667,109.77688,0,3352.094,7366.14203,True,adjust_inspection_priority,public-derived-entity-complete-daily-aggregate
5,1,144,143,143,7.753986,557.53755,0,3355.342,7841.20175,True,adjust_inspection_priority,public-derived-entity-complete-daily-aggregate
