turbine_id,turbine_x,turbine_y,data_nature
1,3349.8515,5939.23193,public-location-fact
2,3351.0017,6416.64673,public-location-fact
3,3314.7797,6892.18395,public-location-fact
4,3352.094,7366.14203,public-location-fact
5,3355.342,7841.20175,public-location-fact
6,3329.4284,8340.79769,public-location-fact
7,3360.5473,8816.23834,public-location-fact
8,3360.2992,9265.21442,public-location-fact
9,3359.9419,10696.54549,public-location-fact
10,3361.2616,11171.77916,public-location-fact
11,3244.0619,11646.05877,public-location-fact
12,3286.7788,12121.00426,public-location-fact
13,3326.2552,244.02595,public-location-fact
14,3328.7796,719.04816,public-location-fact
15,3329.7588,1194.28795,public-location-fact
16,3333.9042,1658.25733,public-location-fact
17,3334.2558,2140.55426,public-location-fact
18,3336.8477,2615.58831,public-location-fact
19,3338.8861,3090.44941,public-location-fact
20,3361.0339,3566.91886,public-location-fact
21,3249.0218,4043.58605,public-location-fact
22,3250.8602,4519.34673,public-location-fact
23,3346.8376,4989.86182,public-location-fact
24,3322.2136,5465.8856,public-location-fact
25,4260.8151,5699.75016,public-location-fact
26,4328.53,6171.98539,public-location-fact
27,4331.9147,6650.66702,public-location-fact
28,4373.2043,7122.6401,public-location-fact
29,4267.1024,7597.96708,public-location-fact
30,4333.9194,8075.09406,public-location-fact
31,4363.0583,9974.68922,public-location-fact
32,4341.538,10448.7068,public-location-fact
33,4341.2239,10923.51197,public-location-fact
34,4475.873,11359.03927,public-location-fact
35,4305.956,11874.6941,public-location-fact
36,4303.7037,0,public-location-fact
37,4306.233,473.27282,public-location-fact
38,4308.0735,949.48701,public-location-fact
39,4310.2121,1424.7466,public-location-fact
40,4312.2476,1901.0316,public-location-fact
41,4353.3118,2373.37382,public-location-fact
42,4315.7548,2851.53764,public-location-fact
43,4357.3789,3325.82225,public-location-fact
44,4320.3892,3800.20052,public-location-fact
45,4320.6831,4245.29983,public-location-fact
46,4349.2935,4748.01915,public-location-fact
47,4418.2569,5250.99853,public-location-fact
48,5501.4529,5458.61691,public-location-fact
49,5239.0025,5933.88235,public-location-fact
50,5283.0121,6408.29573,public-location-fact
51,5309.2053,6882.09493,public-location-fact
52,5182.8594,8810.61678,public-location-fact
53,5289.465,9287.65496,public-location-fact
54,5317.0343,9736.40115,public-location-fact
55,5340.0893,10182.55459,public-location-fact
56,5384.8995,10690.89613,public-location-fact
57,5360.5356,11165.39719,public-location-fact
58,5279.4781,231.50508,public-location-fact
59,5285.9086,707.18265,public-location-fact
60,5287.3353,1181.28512,public-location-fact
61,5316.6078,1660.98299,public-location-fact
62,5291.8141,2131.70346,public-location-fact
63,5292.8255,2605.73505,public-location-fact
64,5296.0205,3109.64256,public-location-fact
65,5256.8079,3557.32759,public-location-fact
66,5298.3107,4032.58132,public-location-fact
67,5303.0059,4512.23649,public-location-fact
68,5343.7185,4955.5575,public-location-fact
69,1970.7969,5721.27578,public-location-fact
70,2012.9322,6197.04607,public-location-fact
71,1971.5207,6740.61014,public-location-fact
72,2001.7513,7146.10095,public-location-fact
73,1977.0235,7622.8578,public-location-fact
74,1974.6634,8093.11429,public-location-fact
75,2017.4857,8572.23882,public-location-fact
76,1980.9697,9047.21395,public-location-fact
77,1982.9086,9520.0003,public-location-fact
78,2020.142,10003.91653,public-location-fact
79,1981.1668,10475.97878,public-location-fact
80,1873.4535,501.78149,public-location-fact
81,1950.4976,974.44324,public-location-fact
82,2041.5691,1404.91619,public-location-fact
83,1953.9862,1922.45644,public-location-fact
84,1954.9133,2399.67753,public-location-fact
85,1961.5475,2873.83659,public-location-fact
86,1961.2125,3349.21476,public-location-fact
87,2016.8768,3821.28985,public-location-fact
88,1967.4231,4297.3679,public-location-fact
89,1988.9609,4770.76413,public-location-fact
90,1970.654,5247.32771,public-location-fact
91,1017.8906,6941.41909,public-location-fact
92,1035.7611,7403.51736,public-location-fact
93,1035.6523,7851.07697,public-location-fact
94,1024.2895,8354.88271,public-location-fact
95,1024.0701,8829.17894,public-location-fact
96,1002.5359,9303.89084,public-location-fact
97,1016.791,9830.6455,public-location-fact
98,1064.6639,10259.40545,public-location-fact
99,1001.5682,10737.13956,public-location-fact
100,1003.5004,11210.56368,public-location-fact
101,1005.4042,11685.24357,public-location-fact
102,952.5796,1710.25706,public-location-fact
103,965.8279,2210.0841,public-location-fact
104,1029.4748,2642.20182,public-location-fact
105,977.7406,3134.45235,public-location-fact
106,1013.8914,3609.00665,public-location-fact
107,927.8242,4086.1899,public-location-fact
108,1022.895,4557.30585,public-location-fact
109,1025.7875,5033.51128,public-location-fact
110,1014.3173,5509.0799,public-location-fact
111,988.6922,5982.41676,public-location-fact
112,988.7497,6455.04406,public-location-fact
113,9.637399999,7189.28109,public-location-fact
114,41.4225,7662.24037,public-location-fact
115,27.2828,8136.77274,public-location-fact
116,16.9467,8612.70454,public-location-fact
117,17.3727,9086.27586,public-location-fact
118,18.2145,9561.27009,public-location-fact
119,19.0503,10044.40534,public-location-fact
120,32.1355,10516.75637,public-location-fact
121,34.0338,10994.26663,public-location-fact
122,19.1439,11470.36638,public-location-fact
123,61.335,11944.36985,public-location-fact
124,0,1975.47494,public-location-fact
125,18.6945,2425.30767,public-location-fact
126,8.535,2898.76489,public-location-fact
127,31.2394,3372.18094,public-location-fact
128,68.4751,3862.0351,public-location-fact
129,19.5283,4309.05443,public-location-fact
130,12.6509,4814.6004,public-location-fact
131,23.3458,5284.65439,public-location-fact
132,62.6774,5749.90633,public-location-fact
133,78.4309,6231.32903,public-location-fact
134,11.3385,6713.46517,public-location-fact
