product_id,category_id,store_id,unit_price_cny,units,transaction_time,order_id,transaction_id,state,data_nature
30006206,915000003,CDNL,25.23,0,2018/1/1,20170103CDLG000210052759,B024-TXN-00001,已成交,用户提供的历史交易快照
30163281,914010000,CDNL,2.0,2,2018/1/2,20170103CDLG000210052759,B024-TXN-00002,已成交,用户提供的历史交易快照
30200518,922000000,CDNL,19.62,0,2018/1/3,20170103CDLG000210052759,B024-TXN-00003,已成交,用户提供的历史交易快照
29989105,922000000,CDNL,2.8,2,2018/1/4,20170103CDLG000210052759,B024-TXN-00004,已成交,用户提供的历史交易快照
30179558,915000100,CDNL,47.41,0,2018/1/5,20170103CDLG000210052759,B024-TXN-00005,已成交,用户提供的历史交易快照
30022232,960000000,CDNL,0.3,1,2018/1/6,20170103CDLG000210052759,B024-TXN-00006,已成交,用户提供的历史交易快照
30179520,915000100,CDNL,77.52,0,2018/1/7,20170103CDLG000210052759,B024-TXN-00007,已成交,用户提供的历史交易快照
30184351,915000106,CDNL,15.57,0,2018/1/8,20170103CDLG000210052759,B024-TXN-00008,已成交,用户提供的历史交易快照
30184351,915000106,CDNL,15.58,0,2018/1/9,20170103CDLG000210052759,B024-TXN-00009,已成交,用户提供的历史交易快照
29989059,922000003,CDNL,1.98,1,2018/1/10,20170103CDLG000210052759,B024-TXN-00010,已成交,用户提供的历史交易快照
30214802,925090000,CDNL,27.43,1,2018/1/11,20170103CDLG000210052760,B024-TXN-00011,已成交,用户提供的历史交易快照
30006343,915030400,CDNL,3.98,2,2018/1/12,20170103CDLG000210052760,B024-TXN-00012,已成交,用户提供的历史交易快照
30214814,925090000,CDNL,33.43,2,2018/1/13,20170103CDLG000210052760,B024-TXN-00013,已成交,用户提供的历史交易快照
30031870,915030401,CDNL,8.17,2,2018/1/14,20170103CDLG000210052760,B024-TXN-00014,已成交,用户提供的历史交易快照
29989059,922000003,CDNL,1.98,2,2018/1/15,20170103CDLG000210052760,B024-TXN-00015,已成交,用户提供的历史交易快照
30077387,930000204,CDNL,18.52,1,2018/1/16,20170103CDLG000210052761,B024-TXN-00016,已成交,用户提供的历史交易快照
30008381,912060301,CDNL,19.44,0,2018/1/17,20170103CDLG000210052761,B024-TXN-00017,已成交,用户提供的历史交易快照
29989153,923000006,CDNL,7.6,1,2018/1/18,20170103CDLG000210052761,B024-TXN-00018,已成交,用户提供的历史交易快照
30008276,911010501,CDNL,15.43,0,2018/1/19,20170103CDLG000210052761,B024-TXN-00019,已成交,用户提供的历史交易快照
29991814,930000204,CDNL,19.52,1,2018/1/20,20170103CDLG000210052761,B024-TXN-00020,已成交,用户提供的历史交易快照
