monitor_minute,valid_samples,steam_temperature_mean,steam_temperature_min,steam_temperature_max,steam_temperature_std,temperature_state,consecutive_deviation_minutes,data_completeness,recent_trend,source_interval_is_factory_limit,automatic_control_allowed,allowed_action,data_nature
2022-03-27 14:28,2,538.29,538.29,538.29,0,区间内,0,完整,0,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 14:29,12,538.2233333333335,538.19,538.26,0.030368111930453377,区间内,0,完整,-0.06666666666649235,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 14:30,12,538.3708333333333,538.26,538.52,0.09123763234300061,区间内,0,完整,0.147499999999809,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 14:31,12,538.7500000000001,538.52,539,0.14793016370346415,区间内,0,完整,0.3791666666668334,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 14:32,12,539.4208333333332,539.03,539.81,0.24336044369525972,区间内,0,完整,0.6708333333331211,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 14:33,12,540.1666666666666,539.84,540.48,0.19808808366201833,区间内,0,完整,0.745833333333394,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 14:34,12,540.805,540.54,541.09,0.18214005600085734,区间内,0,完整,0.6383333333333212,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 14:35,12,541.4616666666666,541.15,541.73,0.1811460429843533,区间内,0,完整,0.6566666666666379,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 14:36,12,541.9083333333334,541.79,542.02,0.07987837977548343,区间内,0,完整,0.44666666666682886,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 14:37,12,542.0133333333333,541.89,542.08,0.06980130530458832,区间内,0,完整,0.1049999999999045,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 14:38,12,541.5266666666668,541.16,541.86,0.21234144411510297,区间内,0,完整,-0.4866666666665651,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 14:39,12,540.6049999999999,540.07,541.06,0.3062270399556282,区间内,0,完整,-0.9216666666668516,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 14:40,12,539.54,539.05,540.04,0.2965074479109562,区间内,0,完整,-1.0649999999999409,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 14:41,12,538.4908333333332,537.99,539.02,0.3129818507340026,区间内,0,完整,-1.0491666666667925,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 14:42,12,537.5,537.13,537.93,0.2543947064438738,区间内,0,完整,-0.9908333333331711,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 14:43,12,536.7358333333333,536.46,537.07,0.19422745829454457,区间内,0,完整,-0.7641666666667106,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 14:44,12,536.1083333333333,535.88,536.4,0.15962629969887135,区间内,0,完整,-0.6274999999999409,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 14:45,12,535.6366666666667,535.44,535.82,0.11002524962733025,区间内,0,完整,-0.47166666666669244,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 14:46,12,535.2291666666666,535.03,535.38,0.11764766135467826,区间内,0,完整,-0.4075000000000273,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 14:47,12,534.8075,534.59,534.97,0.13242136031120336,区间内,0,完整,-0.4216666666666242,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 14:48,12,534.2925,534.08,534.53,0.14335997814359192,区间内,0,完整,-0.5149999999999864,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 14:49,12,533.7358333333333,533.5,534.01,0.16163015051517665,区间内,0,完整,-0.5566666666667288,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 14:50,12,533.1791666666667,532.88,533.43,0.17689254428104714,区间内,0,完整,-0.5566666666666151,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 14:51,12,532.5566666666665,532.36,532.82,0.15369522511198758,区间内,0,完整,-0.6225000000001728,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 14:52,12,532.0383333333333,531.84,532.3,0.1494898733099203,区间内,0,完整,-0.518333333333203,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 14:53,12,531.6016666666666,531.42,531.77,0.11943152384898116,区间内,0,完整,-0.43666666666672427,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 14:54,12,531.1341666666666,530.9,531.36,0.1548363831777301,区间内,0,完整,-0.4674999999999727,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 14:55,12,530.6375,530.4,530.84,0.140482798472496,区间内,0,完整,-0.496666666666556,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 14:56,12,530.0616666666666,529.82,530.33,0.16861362802440077,区间内,0,完整,-0.5758333333334349,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 14:57,12,529.6125000000001,529.44,529.79,0.11453711188952583,低于来源区间,1,完整,-0.44916666666654237,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 14:58,12,529.3358333333332,529.29,529.44,0.04050891534246577,低于来源区间,2,完整,-0.2766666666668698,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 14:59,12,529.4416666666666,529.32,529.59,0.09956851354162499,低于来源区间,3,完整,0.10583333333340761,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 15:00,12,529.8483333333332,529.62,530.04,0.14076181616080316,低于来源区间,4,完整,0.40666666666663787,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 15:01,12,530.3783333333333,530.14,530.66,0.17372551785950205,区间内,0,完整,0.5300000000000864,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 15:02,12,530.9908333333333,530.66,531.31,0.18158828584342232,区间内,0,完整,0.6124999999999545,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 15:03,12,531.5849999999999,531.31,531.83,0.15526858450227274,区间内,0,完整,0.5941666666666379,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 15:04,12,532.0191666666666,531.83,532.2,0.11405103633414625,区间内,0,完整,0.4341666666666697,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 15:05,12,532.4191666666667,532.2,532.59,0.11302347347146657,区间内,0,完整,0.40000000000009095,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 15:06,12,532.6966666666667,532.65,532.75,0.033747427885551226,区间内,0,完整,0.27750000000003183,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 15:07,12,532.5633333333333,532.43,532.72,0.08096638534328163,区间内,0,完整,-0.13333333333343944,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 15:08,12,532.1908333333332,531.94,532.43,0.14091713483066065,区间内,0,完整,-0.3725000000000591,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 15:09,12,531.7508333333334,531.55,531.95,0.13079617306669641,区间内,0,完整,-0.4399999999998272,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 15:10,12,531.4325,531.39,531.49,0.03491060010943741,区间内,0,完整,-0.31833333333338487,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 15:11,12,531.57,531.42,531.77,0.10614455552060158,区间内,0,完整,0.13750000000004547,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 15:12,12,532.1758333333333,531.83,532.64,0.2504482093279069,区间内,0,完整,0.6058333333332939,False,False,submit_operations_review,public-derived-minute-aggregate
2022-03-27 15:13,12,533.3,532.7,533.9,0.36968455021364444,区间内,0,完整,1.1241666666666106,False,False,submit_operations_review,public-derived-minute-aggregate
