station_id,date,capacity_mw,source_records,mean_irradiance,mean_air_temperature,mean_power_mw,mean_efficiency_ratio,mean_temperature_derating_pct,curtailment_suspected_share,automatic_control_allowed,allowed_action,data_nature
1,2019-01-01,50,96,181.01042,-9.5177083,7.7389796,0.76002527,0,0.010416667,False,register_operations_review,public-derived-entity-complete-daily-aggregate
1,2019-01-02,50,96,206.09375,-11.471875,8.628199,0.73701595,0,0.03125,False,register_operations_review,public-derived-entity-complete-daily-aggregate
1,2019-01-03,50,96,204.30208,-11.330208,8.5967824,0.74361445,0,0.03125,False,register_operations_review,public-derived-entity-complete-daily-aggregate
1,2019-01-04,50,96,136.4375,-9.190625,5.6931373,0.78437143,0,0.03125,False,register_operations_review,public-derived-entity-complete-daily-aggregate
1,2019-01-05,50,96,202.82292,-9.5885417,8.5661602,0.76377106,0,0.010416667,False,register_operations_review,public-derived-entity-complete-daily-aggregate
1,2019-01-06,50,96,199.80208,-8.25,8.3095443,0.73407988,0,0.010416667,False,register_operations_review,public-derived-entity-complete-daily-aggregate
1,2019-01-07,50,96,230.92708,-8.803125,9.6258636,0.7283464,0,0.03125,False,register_operations_review,public-derived-entity-complete-daily-aggregate
1,2019-01-08,50,96,225.36458,-8.48125,9.4139171,0.72635027,0,0.020833333,False,register_operations_review,public-derived-entity-complete-daily-aggregate
1,2019-01-09,50,96,207.39583,-8.1625,5.1684053,0.50899116,0,0.15625,False,register_operations_review,public-derived-entity-complete-daily-aggregate
1,2019-01-10,50,96,193.73958,-8.66875,7.9352206,0.75198875,0,0.010416667,False,register_operations_review,public-derived-entity-complete-daily-aggregate
1,2019-01-11,50,96,224.69792,-8.6885417,9.249124,0.72679798,0,0.010416667,False,register_operations_review,public-derived-entity-complete-daily-aggregate
1,2019-01-12,50,96,234.95833,-8.5177083,9.5650358,0.72026841,0,0.03125,False,register_operations_review,public-derived-entity-complete-daily-aggregate
1,2019-01-13,50,96,169.52083,-9.0729167,6.927772,0.76146519,0,0.010416667,False,register_operations_review,public-derived-entity-complete-daily-aggregate
1,2019-01-14,50,96,210.98958,-5.796875,8.7306547,0.73997945,0,0.020833333,False,register_operations_review,public-derived-entity-complete-daily-aggregate
1,2019-01-15,50,96,135.01042,-4.9520833,5.803845,0.86484782,0,0.010416667,False,register_operations_review,public-derived-entity-complete-daily-aggregate
1,2019-01-16,50,96,184.64583,-7.2895833,8.0886664,0.83062055,0,0,False,register_operations_review,public-derived-entity-complete-daily-aggregate
1,2019-01-17,50,96,182.94792,-6.1802083,7.4896901,0.74150282,0,0,False,register_operations_review,public-derived-entity-complete-daily-aggregate
1,2019-01-18,50,96,87.447917,-3.5145833,3.8740263,0.82127012,0,0,False,register_operations_review,public-derived-entity-complete-daily-aggregate
1,2019-01-19,50,96,141.63542,-4.7885417,5.6042595,0.64497753,0,0.041666667,False,register_operations_review,public-derived-entity-complete-daily-aggregate
