invoice_id,stock_code,description,quantity,invoice_at,unit_price_gbp,customer_id,country,is_cancellation_proxy,line_amount_gbp,fx_rate_gbp_cny,unit_price_cny,line_amount_cny,operational_currency,fx_basis,source_sheet,data_nature
489434,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,12,2009-12-01 07:45:00,6.95,C13085,United Kingdom,False,83.4,9.1,63.24,758.94,CNY,course-fixed,Year 2009-2010,public-derived
489434,79323P,PINK CHERRY LIGHTS,12,2009-12-01 07:45:00,6.75,C13085,United Kingdom,False,81.0,9.1,61.42,737.1,CNY,course-fixed,Year 2009-2010,public-derived
489434,79323W, WHITE CHERRY LIGHTS,12,2009-12-01 07:45:00,6.75,C13085,United Kingdom,False,81.0,9.1,61.42,737.1,CNY,course-fixed,Year 2009-2010,public-derived
489434,22041,"RECORD FRAME 7"" SINGLE SIZE ",48,2009-12-01 07:45:00,2.1,C13085,United Kingdom,False,100.8,9.1,19.11,917.28,CNY,course-fixed,Year 2009-2010,public-derived
489434,21232,STRAWBERRY CERAMIC TRINKET BOX,24,2009-12-01 07:45:00,1.25,C13085,United Kingdom,False,30.0,9.1,11.38,273.0,CNY,course-fixed,Year 2009-2010,public-derived
489434,22064,PINK DOUGHNUT TRINKET POT ,24,2009-12-01 07:45:00,1.65,C13085,United Kingdom,False,39.6,9.1,15.01,360.36,CNY,course-fixed,Year 2009-2010,public-derived
489434,21871,SAVE THE PLANET MUG,24,2009-12-01 07:45:00,1.25,C13085,United Kingdom,False,30.0,9.1,11.38,273.0,CNY,course-fixed,Year 2009-2010,public-derived
489434,21523,FANCY FONT HOME SWEET HOME DOORMAT,10,2009-12-01 07:45:00,5.95,C13085,United Kingdom,False,59.5,9.1,54.14,541.45,CNY,course-fixed,Year 2009-2010,public-derived
489435,22350,CAT BOWL ,12,2009-12-01 07:46:00,2.55,C13085,United Kingdom,False,30.6,9.1,23.2,278.46,CNY,course-fixed,Year 2009-2010,public-derived
489435,22349,"DOG BOWL , CHASING BALL DESIGN",12,2009-12-01 07:46:00,3.75,C13085,United Kingdom,False,45.0,9.1,34.12,409.5,CNY,course-fixed,Year 2009-2010,public-derived
489435,22195,HEART MEASURING SPOONS LARGE,24,2009-12-01 07:46:00,1.65,C13085,United Kingdom,False,39.6,9.1,15.01,360.36,CNY,course-fixed,Year 2009-2010,public-derived
